company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s3_emissions_ghg,total_s3_ghgp_c1_emissions_ghg,total_s3_ghgp_c2_emissions_ghg,total_s3_ghgp_c3_emissions_ghg,total_s3_ghgp_c4_emissions_ghg,total_s3_ghgp_c5_emissions_ghg,total_s3_ghgp_c6_emissions_ghg,total_s3_ghgp_c7_emissions_ghg,total_s3_ghgp_c8_emissions_ghg,total_s3_ghgp_c9_emissions_ghg,total_s3_ghgp_c10_emissions_ghg,total_s3_ghgp_c11_emissions_ghg,total_s3_ghgp_c12_emissions_ghg,total_s3_ghgp_c13_emissions_ghg,total_s3_ghgp_c14_emissions_ghg,total_s3_ghgp_c15_emissions_ghg,total_s3_ghgp_other_emissions_ghg,company_url
DAIKEN CORPORATION,2023,CDP,Japan,Consumer Goods,"3,982,143 tCO₂e","1,019,127 tCO₂e","44,340 tCO₂e","36,923 tCO₂e","255,737 tCO₂e","4,596 tCO₂e",472 tCO₂e,"1,303 tCO₂e",,"14,732 tCO₂e","382,917 tCO₂e","22,860 tCO₂e","208,065 tCO₂e",,,,"1,991,071 tCO₂e",https://nzdpu.com/companies/12114?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Descente Ltd,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/23448?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Dynic,2023,CDP,Japan,Consumer Goods,"158,639.356 tCO₂e","150,376.366 tCO₂e",,"2,795.641 tCO₂e","3,682.27 tCO₂e","1,352 tCO₂e",86.58 tCO₂e,345.969 tCO₂e,,,,0.53 tCO₂e,,,,,,https://nzdpu.com/companies/24305?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Fancl Corporation,2023,CDP,Japan,Consumer Goods,"164,175 tCO₂e","86,589 tCO₂e","6,184 tCO₂e","2,039 tCO₂e","26,731 tCO₂e",909 tCO₂e,252 tCO₂e,"1,241 tCO₂e",,403 tCO₂e,,"38,792 tCO₂e","1,035 tCO₂e",,,,,https://nzdpu.com/companies/16038?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"FRANCE BED HOLDINGS CO.,LTD.",2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21181?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
FUJI OIL HOLDINGS INC.,2023,CDP,Japan,Food & Beverage,"3,825,421 tCO₂e","2,841,138 tCO₂e","67,526 tCO₂e","92,384 tCO₂e","599,245 tCO₂e","5,248 tCO₂e",754 tCO₂e,"2,685 tCO₂e",158 tCO₂e,"111,617 tCO₂e","99,681 tCO₂e",34 tCO₂e,"2,921 tCO₂e","2,030 tCO₂e",,,,https://nzdpu.com/companies/12381?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
FUKUSHIMA GALILEI CO.LTD.,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21184?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
G-7 Holdings Inc,2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21140?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"GLOBERIDE, Inc.",2023,CDP,Japan,Consumer Goods,"121,294 tCO₂e","91,926 tCO₂e","3,141 tCO₂e",656 tCO₂e,"18,174 tCO₂e",357 tCO₂e,"2,492 tCO₂e","1,198 tCO₂e",,16 tCO₂e,,"1,151 tCO₂e","2,183 tCO₂e",,,,,https://nzdpu.com/companies/24508?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
GSI Creos Corporation,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/24604?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
HAPPINET CORPORATION,2023,CDP,Japan,Consumer Goods,766.094 tCO₂e,,,,766.094 tCO₂e,,,,,,,,,,,,,https://nzdpu.com/companies/24511?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"HEIWADO CO.,LTD.",2023,CDP,Japan,Food & Beverage,"1,876,746.956 tCO₂e","1,429,118.416 tCO₂e","31,080.725 tCO₂e","19,893.577 tCO₂e","24,613.192 tCO₂e","33,046.627 tCO₂e","1,460.334 tCO₂e","5,245.149 tCO₂e",45.362 tCO₂e,"37,291.301 tCO₂e",,"106,295.776 tCO₂e","153,093.878 tCO₂e","35,562.619 tCO₂e",,,,https://nzdpu.com/companies/23011?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
HIDAY HIDAKA Corp.,2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/24514?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
HOKUTO CORPORATION,2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/23015?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Isetan Mitsukoshi Holdings Ltd.,2023,CDP,Japan,Consumer Goods,"977,977 tCO₂e","667,743 tCO₂e","67,651 tCO₂e","26,229 tCO₂e","75,646 tCO₂e","2,796 tCO₂e","2,243 tCO₂e","5,295 tCO₂e",,"112,512 tCO₂e",,"10,216 tCO₂e","1,753 tCO₂e","5,893 tCO₂e",,,,https://nzdpu.com/companies/12683?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Ito En, Ltd.",2023,CDP,Japan,Food & Beverage,"700,356 tCO₂e","497,255 tCO₂e","3,649 tCO₂e","5,569 tCO₂e","62,159 tCO₂e","8,928 tCO₂e",679 tCO₂e,"1,755 tCO₂e",,,,,"44,375 tCO₂e","75,987 tCO₂e",,,,https://nzdpu.com/companies/12693?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Itoham Yonekyu Holdings,2023,CDP,Japan,Food & Beverage,"7,740,500 tCO₂e","6,455,100 tCO₂e","57,200 tCO₂e","61,400 tCO₂e","167,100 tCO₂e","15,000 tCO₂e","1,000 tCO₂e","3,200 tCO₂e",,"3,600 tCO₂e","976,700 tCO₂e",,,200 tCO₂e,,,,https://nzdpu.com/companies/18166?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"J-OIL MILLS, INC.",2023,CDP,Japan,Food & Beverage,"3,413,136 tCO₂e","2,178,341 tCO₂e","15,931 tCO₂e","53,586 tCO₂e","1,039,240 tCO₂e",542 tCO₂e,"1,017 tCO₂e",813 tCO₂e,,"20,236 tCO₂e","89,748 tCO₂e",,"13,682 tCO₂e",,,,,https://nzdpu.com/companies/23315?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"J. Front Retailing Co., Ltd.",2023,CDP,Japan,Consumer Goods,"2,761,669 tCO₂e","2,596,485 tCO₂e","47,246 tCO₂e","23,566 tCO₂e","27,892 tCO₂e","1,262 tCO₂e","2,755 tCO₂e","1,644 tCO₂e",,"15,862 tCO₂e",,"1,209 tCO₂e","12,499 tCO₂e","31,249 tCO₂e",,,,https://nzdpu.com/companies/12698?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
JAPAN PULP AND PAPER COMPANY LIMITED,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21136?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"JK Holdings Co., Ltd.",2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/24528?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Joshin Denki Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"4,616,578 tCO₂e","945,803 tCO₂e","31,371 tCO₂e","2,579 tCO₂e","29,323 tCO₂e","12,374 tCO₂e",112 tCO₂e,"1,638 tCO₂e",,,,"3,581,667 tCO₂e","7,350 tCO₂e","3,555 tCO₂e",100 tCO₂e,706 tCO₂e,,https://nzdpu.com/companies/18207?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kibun Foods Inc.,2023,CDP,Japan,Food & Beverage,"172,688 tCO₂e","168,922 tCO₂e","3,538 tCO₂e",,,20 tCO₂e,,208 tCO₂e,,,,,,,,,,https://nzdpu.com/companies/21328?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kikkoman Corporation,2023,CDP,Japan,Food & Beverage,"2,540,380 tCO₂e","1,868,356 tCO₂e","122,242 tCO₂e","49,300 tCO₂e","371,534 tCO₂e","7,786 tCO₂e","1,011 tCO₂e","2,878 tCO₂e",344 tCO₂e,"22,482 tCO₂e","46,363 tCO₂e","8,388 tCO₂e","39,696 tCO₂e",,,,,https://nzdpu.com/companies/12784?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Kojima Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"2,978,050 tCO₂e","387,736 tCO₂e","7,126 tCO₂e","6,094 tCO₂e",,,369 tCO₂e,"1,433 tCO₂e",,,,"2,569,537 tCO₂e","5,755 tCO₂e",,,,,https://nzdpu.com/companies/21213?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"KOMATSU WALL INDUSTRY CO.,LTD.",2023,CDP,Japan,Consumer Goods,"37,309.6 tCO₂e","29,523 tCO₂e","2,394 tCO₂e","1,420 tCO₂e","2,635 tCO₂e",47 tCO₂e,173 tCO₂e,551 tCO₂e,,,0.6 tCO₂e,,566 tCO₂e,,,,,https://nzdpu.com/companies/21214?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"KOMEDA Holdings Co.,Ltd.",2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21215?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Kyokuyo Co Ltd - 1301 JP,2023,CDP,Japan,Food & Beverage,"6,852 tCO₂e",,,,,,,,,"6,852 tCO₂e",,,,,,,,https://nzdpu.com/companies/18283?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Lawson, Inc.",2023,CDP,Japan,Food & Beverage,"4,666,007 tCO₂e","4,193,556 tCO₂e","70,262 tCO₂e","145,020 tCO₂e","136,007 tCO₂e","21,940 tCO₂e",786 tCO₂e,"1,399 tCO₂e",,,,"56,457 tCO₂e","40,580 tCO₂e",,,,,https://nzdpu.com/companies/18300?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
LIFE CORPORATION,2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/19380?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
LIXIL Corporation,2023,CDP,Japan,Consumer Goods,"10,061,867 tCO₂e","3,624,262 tCO₂e","2,521,190 tCO₂e","182,149 tCO₂e","102,005 tCO₂e","132,821 tCO₂e","6,695 tCO₂e","23,732 tCO₂e",,,,"3,046,193 tCO₂e","422,820 tCO₂e",,,,,https://nzdpu.com/companies/12905?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
MAKITA CORPORATION,2023,CDP,Japan,Consumer Goods,"5,556,932.538 tCO₂e","2,366,228.738 tCO₂e","130,774.169 tCO₂e","11,091.662 tCO₂e","846,507.196 tCO₂e","2,499.461 tCO₂e","2,451.542 tCO₂e","7,790.097 tCO₂e",,,,"2,168,483.634 tCO₂e","21,106.039 tCO₂e",,,,,https://nzdpu.com/companies/19382?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Marubeni Corporation,2023,CDP,Japan,Consumer Goods,"22,715,718 tCO₂e",,"342,668 tCO₂e","224,660 tCO₂e","11,787 tCO₂e","119,751 tCO₂e","5,979 tCO₂e","10,873 tCO₂e",,,,,,,,"22,000,000 tCO₂e",,https://nzdpu.com/companies/23042?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Maruha Nichiro Corporation,2023,CDP,Japan,Food & Beverage,"6,199,067.831 tCO₂e","4,147,424.815 tCO₂e","25,882.626 tCO₂e","22,324.474 tCO₂e","287,370.479 tCO₂e","7,099.106 tCO₂e",775.45 tCO₂e,"3,450.378 tCO₂e",,"454,354.795 tCO₂e","288,831.786 tCO₂e","937,397.942 tCO₂e","24,155.98 tCO₂e",,,,,https://nzdpu.com/companies/19942?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"MEGMILK SNOW BRAND Co.,Ltd.",2023,CDP,Japan,Food & Beverage,"2,314,927 tCO₂e","2,065,856 tCO₂e","54,579 tCO₂e","37,981 tCO₂e","102,787 tCO₂e","1,124 tCO₂e",867 tCO₂e,"2,934 tCO₂e",,,,,"48,799 tCO₂e",,,,,https://nzdpu.com/companies/12986?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Meiji Holdings Co.Ltd.,2023,CDP,Japan,Food & Beverage,"3,891,823 tCO₂e","3,152,474 tCO₂e","226,394 tCO₂e","103,128 tCO₂e","230,379 tCO₂e","10,038 tCO₂e","2,248 tCO₂e","6,055 tCO₂e",,"122,535 tCO₂e",,,"38,572 tCO₂e",,,,,https://nzdpu.com/companies/12989?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Morinaga & Company Ltd,2023,CDP,Japan,Food & Beverage,"520,920 tCO₂e","294,823 tCO₂e","193,708 tCO₂e","8,268 tCO₂e","12,735 tCO₂e","1,730 tCO₂e",551 tCO₂e,"1,514 tCO₂e",410 tCO₂e,,,,"7,181 tCO₂e",,,,,https://nzdpu.com/companies/14988?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Morinaga Milk Industry Co., Ltd.",2023,CDP,Japan,Food & Beverage,"2,088,101 tCO₂e","1,132,477 tCO₂e","57,463 tCO₂e","53,307 tCO₂e","39,170 tCO₂e","1,158 tCO₂e",918 tCO₂e,"1,995 tCO₂e",,"784,057 tCO₂e",,"1,153 tCO₂e","16,403 tCO₂e",,,,,https://nzdpu.com/companies/14989?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nagatanienholdings Co.,Ltd.",2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/24543?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NAKABAYASHI.CO,.LTD",2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21334?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
NH Foods Ltd.,2023,CDP,Japan,Food & Beverage,"10,258,000 tCO₂e","8,599,000 tCO₂e","159,000 tCO₂e","79,000 tCO₂e","809,000 tCO₂e","44,000 tCO₂e","7,000 tCO₂e","54,000 tCO₂e","5,000 tCO₂e",,"242,000 tCO₂e","145,000 tCO₂e","115,000 tCO₂e",,,,,https://nzdpu.com/companies/13124?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NICHIMO CO.,LTD.",2023,CDP,Japan,Food & Beverage,"1,587 tCO₂e",,,"1,587 tCO₂e",,,,,,,,,,,,,,https://nzdpu.com/companies/24613?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Niitaka Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"89,573 tCO₂e","84,679 tCO₂e",140 tCO₂e,254 tCO₂e,,73 tCO₂e,30 tCO₂e,104 tCO₂e,22 tCO₂e,,,,"3,333 tCO₂e",938 tCO₂e,,,,https://nzdpu.com/companies/24548?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
NIPPN CORPORATION,2023,CDP,Japan,Food & Beverage,"52,645 tCO₂e",,,,,,,,,"52,645 tCO₂e",,,,,,,,https://nzdpu.com/companies/21233?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nippon Suisan Kaisha, Ltd.",2023,CDP,Japan,Food & Beverage,"2,545,561 tCO₂e","2,316,906 tCO₂e","79,343 tCO₂e","63,191 tCO₂e","66,819 tCO₂e","8,110 tCO₂e","1,256 tCO₂e","3,277 tCO₂e",,,,,"6,659 tCO₂e",,,,,https://nzdpu.com/companies/19940?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Nisshin Seifun Group Inc.,2023,CDP,Japan,Food & Beverage,"56,531,725 tCO₂e","44,044,984 tCO₂e","61,945 tCO₂e","77,243 tCO₂e","1,118,103 tCO₂e","18,168 tCO₂e","1,228 tCO₂e","5,954 tCO₂e","2,444 tCO₂e","9,967,207 tCO₂e","944,007 tCO₂e","259,893 tCO₂e","30,545 tCO₂e",4 tCO₂e,,,,https://nzdpu.com/companies/15047?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nitori Holdings Co., Ltd.",2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/23058?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NITTO BOSEKI CO.,LTD.",2023,CDP,Japan,Consumer Goods,"162,538 tCO₂e","108,682 tCO₂e","20,717 tCO₂e","28,612 tCO₂e","3,232 tCO₂e",662 tCO₂e,342 tCO₂e,291 tCO₂e,,,,,,,,,,https://nzdpu.com/companies/23248?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
OKAMURA CORPORATION,2023,CDP,Japan,Consumer Goods,"1,523,303.19 tCO₂e","771,590.36 tCO₂e","19,506.48 tCO₂e","7,320.56 tCO₂e","25,332.89 tCO₂e","3,928.43 tCO₂e","3,354 tCO₂e","4,993.15 tCO₂e",,"1,820.49 tCO₂e","1,216.68 tCO₂e","670,817.71 tCO₂e","13,422.44 tCO₂e",,,,,https://nzdpu.com/companies/18548?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Okuwa Co Ltd,2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/24474?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"RHYTHM CO.,LTD.",2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21346?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
S.T. CORPORATION,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21147?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sagami Holdings Corporation,2023,CDP,Japan,Food & Beverage,"5,915 tCO₂e",,"3,704.6 tCO₂e","2,210.4 tCO₂e",,,,,,,,,,,,,,https://nzdpu.com/companies/21260?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sanwa Holdings Corporation,2023,CDP,Japan,Consumer Goods,"12,659 tCO₂e",,,,"12,659 tCO₂e",,,,,,,,,,,,,https://nzdpu.com/companies/16778?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SB Technology Corp.,2023,CDP,Japan,Consumer Goods,"3,533.08 tCO₂e","1,082.32 tCO₂e","1,760.45 tCO₂e",153.22 tCO₂e,11.16 tCO₂e,4.21 tCO₂e,166.37 tCO₂e,351.69 tCO₂e,,,,2.54 tCO₂e,1.12 tCO₂e,,,,,https://nzdpu.com/companies/21266?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Seiko Group Corporation,2023,CDP,Japan,Consumer Goods,"572,366 tCO₂e","362,206 tCO₂e","25,690 tCO₂e","16,129 tCO₂e","39,073 tCO₂e","2,888 tCO₂e","3,680 tCO₂e","5,755 tCO₂e",122 tCO₂e,"2,682 tCO₂e","12,226 tCO₂e","95,739 tCO₂e","5,630 tCO₂e",546 tCO₂e,,,,https://nzdpu.com/companies/21267?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"SEIREN CO.,LTD.",2023,CDP,Japan,Consumer Goods,"1,330 tCO₂e",,,,,,,"1,330 tCO₂e",,,,,,,,,,https://nzdpu.com/companies/19804?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SHIKIBO LTD.,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21348?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Shimamura Co., Ltd.",2023,CDP,Japan,Consumer Goods,"2,550,869 tCO₂e","2,376,516 tCO₂e","13,405 tCO₂e","15,306 tCO₂e","52,613 tCO₂e","2,971 tCO₂e","4,000 tCO₂e","17,489 tCO₂e",,,,,"68,569 tCO₂e",,,,,https://nzdpu.com/companies/19443?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sojitz Corporation,2023,CDP,Japan,Food & Beverage,"23,567,680 tCO₂e","1,293,426 tCO₂e",,"28,232 tCO₂e","182,569 tCO₂e",,,,,,,"19,433,869 tCO₂e",,,,"2,629,584 tCO₂e",,https://nzdpu.com/companies/13612?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
